registro,id,duracion_estadia,genero,edad,ninos,codigo_destino,tipo_acomodacion
"""Registro 83""",1002107,5,M,<NA>,0,COL,AirBnB
"""Registro 84""",1010704,7,M,45,0,<NA>,AirBnB
"""Registro 85""",1006485,5,F,44,0,PE,Hotel
"""Registro 86""",1006710,4,M,39,1,COL,AirBnB
"""Registro 87""",1009330,4,F,45,0,IT,Hotel
"""Registro 88""",1005133,5,F,54,0,ES,Hotel
"""Registro 89""",1002416,5,F,44,0,ES,Hotel
"""Registro 90""",1004426,4,F,<NA>,0,<NA>,Hotel
"""Registro 91""",1003975,5,F,47,0,US,Hotel
"""Registro 92""",1012469,3,M,40,1,<NA>,Hotel
"""Registro 93""",1002266,4,F,40,1,IT,Hotel
"""Registro 94""",1010413,6,M,36,0,NL,Hotel
"""Registro 95""",1007062,2,M,33,0,PE,Hotel
"""Registro 96""",1008254,4,F,<NA>,1,PE,AirBnB
"""Registro 97""",1011092,3,F,31,1,IT,Hotel
"""Registro 98""",1012013,1,F,29,1,ES,Hotel
"""Registro 99""",1012375,7,F,37,0,NL,AirBnB
"""Registro 100""",1007317,5,M,42,0,PE,AirBnB
"""Registro 101""",1013426,4,M,47,0,PE,AirBnB
"""Registro 102""",1008991,1,M,40,0,US,Hotel
"""Registro 103""",1000311,5,M,41,1,ES,Hotel
"""Registro 104""",1002493,4,M,40,1,NL,AirBnB
"""Registro 105""",1010605,4,M,33,0,UK,Hotel
"""Registro 106""",1012064,9,M,39,0,COL,Hotel
"""Registro 107""",1005342,4,M,36,0,COL,Hotel
"""Registro 108""",1006690,4,M,37,0,NL,Hotel
"""Registro 109""",1005296,1,M,36,1,NL,AirBnB
"""Registro 110""",1012178,3,M,38,1,ES,AirBnB
"""Registro 111""",1011743,5,M,43,0,ES,Hotel
"""Registro 112""",1010819,2,M,37,1,NL,AirBnB
"""Registro 113""",1013549,4,F,41,0,NL,Hotel
"""Registro 114""",1014054,4,M,<NA>,1,COL,Hotel
"""Registro 115""",1005779,5,M,38,0,UK,Hotel
"""Registro 116""",1001510,4,F,44,<NA>,COL,AirBnB
"""Registro 117""",1009628,4,M,38,1,NL,AirBnB
"""Registro 118""",1007483,3,M,41,1,NL,Hotel
"""Registro 119""",1001878,2,M,48,1,IT,Hotel
"""Registro 120""",1012935,6,F,34,0,COL,AirBnB
"""Registro 121""",1013401,5,M,45,1,US,Hotel
"""Registro 122""",1008166,4,M,37,1,AR,AirBnB
"""Registro 123""",1001940,3,M,39,0,AR,Hotel
"""Registro 124""",1007302,9,F,45,1,IT,Hotel
"""Registro 125""",1005541,5,F,34,0,AR,AirBnB
"""Registro 126""",1006255,5,M,<NA>,0,IT,AirBnB
"""Registro 127""",1001475,9,M,43,0,US,AirBnB
"""Registro 128""",1005183,3,M,<NA>,0,COL,AirBnB
"""Registro 129""",1012194,3,M,42,1,PE,AirBnB
"""Registro 130""",1006829,6,F,37,<NA>,ES,AirBnB
"""Registro 131""",1011736,1,F,41,1,UK,AirBnB
"""Registro 132""",1011139,4,F,41,1,AR,AirBnB
"""Registro 133""",1005231,6,F,42,0,<NA>,Hotel
"""Registro 134""",1005918,3,F,42,0,UK,Hotel
"""Registro 135""",1004256,6,M,36,<NA>,AR,AirBnB
"""Registro 136""",1001482,1,M,37,0,IT,Hotel
"""Registro 137""",1001974,3,M,42,0,US,AirBnB
"""Registro 138""",1013018,2,M,33,0,IT,Hotel
"""Registro 139""",1000014,6,M,38,1,ES,AirBnB
"""Registro 140""",1000527,8,F,<NA>,1,NL,Hotel
"""Registro 141""",1004553,3,F,41,1,IT,AirBnB
"""Registro 142""",1005292,2,F,40,1,COL,Hotel
"""Registro 143""",1006688,3,M,40,0,COL,Hotel
"""Registro 144""",1010332,5,F,32,1,NL,Hotel
"""Registro 145""",1004951,5,M,34,0,<NA>,Hotel
"""Registro 146""",1009282,4,F,41,<NA>,COL,AirBnB
"""Registro 147""",1007289,4,M,33,<NA>,US,Hotel
"""Registro 148""",1013318,2,F,50,1,ES,AirBnB
"""Registro 149""",1008747,5,M,35,0,PE,AirBnB
"""Registro 150""",1000106,3,M,<NA>,<NA>,COL,Hotel
"""Registro 151""",1007065,3,F,38,0,NL,AirBnB
"""Registro 152""",1007278,8,F,38,0,UK,AirBnB
"""Registro 153""",1010071,2,F,32,<NA>,IT,Hotel
"""Registro 154""",1011582,2,F,39,1,COL,Hotel
"""Registro 155""",1005654,4,M,<NA>,1,UK,AirBnB
"""Registro 156""",1003624,3,F,45,<NA>,PE,Hotel
"""Registro 157""",1002041,7,M,46,1,UK,Hotel
"""Registro 158""",1000856,5,F,45,0,NL,Hotel
"""Registro 159""",1001215,4,M,39,0,AR,Hotel
"""Registro 160""",1007569,2,M,43,1,AR,Hotel
"""Registro 161""",1000467,3,F,39,1,<NA>,Hotel
"""Registro 162""",1004329,3,M,40,0,IT,Hotel
"""Registro 163""",1012257,3,M,<NA>,0,<NA>,Hotel
"""Registro 164""",1005765,4,M,42,1,ES,Hotel
"""Registro 165""",1011025,3,F,48,0,IT,Hotel
"""Registro 166""",1012356,4,M,41,0,COL,AirBnB
"""Registro 167""",1001450,7,F,30,1,<NA>,Hotel
"""Registro 168""",1009465,2,M,38,1,ES,Hotel
"""Registro 169""",1001647,2,M,39,1,<NA>,AirBnB
"""Registro 170""",1005170,1,M,45,0,UK,AirBnB
"""Registro 171""",1003902,5,M,42,0,PE,Hotel
"""Registro 172""",1001529,5,M,37,1,IT,AirBnB
"""Registro 173""",1004312,4,F,34,1,NL,AirBnB
"""Registro 174""",1004348,4,M,42,0,UK,AirBnB
"""Registro 175""",1006580,3,M,36,0,US,Hotel
"""Registro 176""",1001302,1,F,<NA>,1,US,Hotel
"""Registro 177""",1005940,4,M,36,0,<NA>,Hotel
"""Registro 178""",1006532,5,F,<NA>,0,ES,AirBnB
"""Registro 179""",1002556,5,M,42,0,AR,AirBnB
"""Registro 180""",1007227,5,F,41,1,COL,AirBnB
"""Registro 181""",1011108,1,F,48,1,PE,Hotel
"""Registro 182""",1010569,5,M,42,0,NL,AirBnB
"""Registro 183""",1003057,4,M,<NA>,0,COL,Hotel
"""Registro 184""",1004792,5,M,<NA>,1,US,Hotel
"""Registro 185""",1013416,6,F,41,1,IT,AirBnB
"""Registro 186""",1002672,4,F,<NA>,0,AR,AirBnB
"""Registro 187""",1011673,2,F,39,0,US,Hotel
"""Registro 188""",1011675,4,M,42,1,AR,Hotel
"""Registro 189""",1008706,5,F,43,1,IT,AirBnB
"""Registro 190""",1007407,2,F,40,0,AR,AirBnB
"""Registro 191""",1001277,4,M,32,1,ES,AirBnB
"""Registro 192""",1009641,3,F,40,1,COL,Hotel
"""Registro 193""",1006303,6,M,<NA>,1,COL,Hotel
"""Registro 194""",1009689,7,F,<NA>,1,NL,AirBnB
"""Registro 195""",1011916,12,F,38,1,IT,Hotel
"""Registro 196""",1005718,5,M,38,0,IT,Hotel
"""Registro 197""",1002665,3,F,<NA>,0,<NA>,Hotel
"""Registro 198""",1007418,7,F,43,0,IT,Hotel
"""Registro 199""",1005098,6,F,38,1,ES,Hotel
"""Registro 200""",1000673,8,M,43,1,IT,Hotel
"""Registro 201""",1010717,2,F,41,0,UK,Hotel
"""Registro 202""",1003321,4,F,47,1,NL,AirBnB
"""Registro 203""",1001984,3,F,49,<NA>,ES,Hotel
"""Registro 204""",1004933,6,F,44,1,IT,AirBnB
"""Registro 205""",1006669,3,F,49,1,NL,AirBnB
"""Registro 206""",1005685,1,M,35,0,AR,Hotel
"""Registro 207""",1008077,6,M,36,1,UK,AirBnB
"""Registro 208""",1013772,5,F,36,0,ES,Hotel
"""Registro 209""",1006095,2,F,40,1,NL,AirBnB
"""Registro 210""",1004299,5,F,39,1,<NA>,Hotel
"""Registro 211""",1001429,3,M,38,0,ES,Hotel
"""Registro 212""",1002232,3,F,35,1,IT,Hotel
"""Registro 213""",1009900,5,M,36,1,PE,AirBnB
"""Registro 214""",1008748,4,F,29,0,COL,AirBnB
"""Registro 215""",1006036,2,M,40,1,US,AirBnB
"""Registro 216""",1008696,6,M,41,0,UK,Hotel
"""Registro 217""",1011367,3,M,35,0,ES,Hotel
"""Registro 218""",1008142,3,F,30,0,UK,AirBnB
"""Registro 219""",1013967,3,F,46,0,UK,Hotel
"""Registro 220""",1006040,3,M,43,1,AR,Hotel
"""Registro 221""",1000822,2,M,41,1,UK,Hotel
"""Registro 222""",1011247,4,M,34,0,UK,Hotel
"""Registro 223""",1004111,3,F,42,1,NL,AirBnB
"""Registro 224""",1009106,3,M,46,1,US,Hotel
"""Registro 225""",1002615,4,M,39,1,ES,AirBnB
"""Registro 226""",1012084,5,M,42,1,PE,Hotel
"""Registro 227""",1001786,5,M,39,<NA>,UK,AirBnB
"""Registro 228""",1008935,5,M,41,1,AR,Hotel
"""Registro 229""",1003402,5,M,<NA>,0,COL,Hotel
"""Registro 230""",1000969,5,M,<NA>,1,ES,AirBnB
"""Registro 231""",1002910,4,F,48,1,COL,AirBnB
"""Registro 232""",1007528,8,F,42,1,UK,AirBnB
"""Registro 233""",1006967,3,M,<NA>,1,IT,AirBnB
"""Registro 234""",1003350,2,M,43,0,UK,AirBnB
"""Registro 235""",1010177,5,M,<NA>,1,US,AirBnB
"""Registro 236""",1002560,4,M,44,0,PE,AirBnB
"""Registro 237""",1008725,1,F,41,1,NL,Hotel
"""Registro 238""",1004777,8,M,39,1,NL,AirBnB
"""Registro 239""",1009947,3,M,45,0,COL,AirBnB
"""Registro 240""",1005313,3,F,35,1,PE,Hotel
"""Registro 241""",1006112,2,M,43,1,<NA>,Hotel
"""Registro 242""",1000304,6,M,38,0,AR,Hotel
"""Registro 243""",1009997,5,M,38,1,COL,AirBnB
"""Registro 244""",1000585,6,F,<NA>,0,ES,Hotel
"""Registro 245""",1007909,7,M,38,0,IT,Hotel
"""Registro 246""",1010825,1,M,31,0,ES,Hotel
"""Registro 247""",1010873,4,M,35,1,IT,AirBnB
"""Registro 248""",1010265,4,M,<NA>,0,ES,AirBnB
"""Registro 249""",1007201,3,F,29,0,COL,AirBnB
"""Registro 250""",1000790,4,F,41,1,IT,AirBnB
"""Registro 251""",1009317,2,M,38,0,AR,Hotel
"""Registro 252""",1004239,2,F,47,0,ES,Hotel
"""Registro 253""",1010767,3,F,42,<NA>,IT,AirBnB
"""Registro 254""",1008563,5,M,44,0,PE,AirBnB
"""Registro 255""",1011996,2,M,<NA>,1,<NA>,Hotel
"""Registro 256""",1001718,4,M,46,1,AR,Hotel
"""Registro 257""",1004010,2,M,52,0,<NA>,Hotel
"""Registro 258""",1007923,3,F,29,1,PE,Hotel
"""Registro 259""",1001615,6,M,47,0,US,Hotel
"""Registro 260""",1003445,3,F,41,0,IT,Hotel
"""Registro 261""",1003613,6,F,<NA>,<NA>,AR,Hotel
"""Registro 262""",1002661,3,F,40,1,IT,Hotel
"""Registro 263""",1003570,3,M,37,1,ES,AirBnB
"""Registro 264""",1007969,9,M,40,1,UK,AirBnB
"""Registro 265""",1007974,4,M,<NA>,1,COL,Hotel
"""Registro 266""",1003144,4,M,40,0,US,Hotel
"""Registro 267""",1002669,7,F,46,1,NL,AirBnB
"""Registro 268""",1006160,3,F,45,1,NL,AirBnB
"""Registro 269""",1013190,3,F,51,1,IT,AirBnB
"""Registro 270""",1008405,6,M,39,1,<NA>,AirBnB
"""Registro 271""",1004189,3,M,40,1,US,AirBnB
"""Registro 272""",1003374,4,M,43,0,ES,AirBnB
"""Registro 273""",1011670,5,F,39,1,PE,Hotel
"""Registro 274""",1010529,4,F,45,0,COL,Hotel
"""Registro 275""",1003030,3,F,37,1,COL,Hotel
"""Registro 276""",1007908,4,M,41,1,IT,AirBnB
"""Registro 277""",1000314,3,F,40,0,UK,AirBnB
"""Registro 278""",1003783,2,F,37,0,AR,AirBnB
"""Registro 279""",1008213,3,F,46,0,UK,Hotel
"""Registro 280""",1005029,7,M,32,1,IT,AirBnB
"""Registro 281""",1008090,2,M,39,1,PE,AirBnB
"""Registro 282""",1002296,3,F,45,1,IT,AirBnB
"""Registro 283""",1005586,5,M,39,0,PE,Hotel
"""Registro 284""",1013019,3,M,35,0,UK,Hotel
"""Registro 285""",1005726,6,F,51,1,US,Hotel
"""Registro 286""",1004966,4,F,40,0,NL,AirBnB
"""Registro 287""",1013431,5,M,30,0,US,Hotel
"""Registro 288""",1004387,4,F,47,0,US,Hotel
"""Registro 289""",1005219,3,F,38,1,IT,Hotel
"""Registro 290""",1000569,3,M,36,0,PE,AirBnB
"""Registro 291""",1003461,2,M,<NA>,0,IT,Hotel
"""Registro 292""",1011184,4,M,32,0,ES,Hotel
"""Registro 293""",1007353,6,M,37,0,PE,Hotel
"""Registro 294""",1000107,4,M,42,1,COL,Hotel
"""Registro 295""",1011895,4,F,<NA>,0,<NA>,Hotel
"""Registro 296""",1010814,4,F,45,0,NL,Hotel
"""Registro 297""",1001016,3,M,49,<NA>,<NA>,Hotel
"""Registro 298""",1012149,4,F,42,0,PE,Hotel
"""Registro 299""",1010302,6,F,50,1,<NA>,AirBnB
"""Registro 300""",1012215,3,F,39,0,UK,Hotel
"""Registro 301""",1011833,5,F,42,<NA>,<NA>,Hotel
"""Registro 302""",1000643,6,M,32,1,COL,AirBnB
"""Registro 303""",1009833,5,F,37,1,<NA>,Hotel
"""Registro 304""",1012196,3,M,39,0,<NA>,Hotel
"""Registro 305""",1001349,3,M,37,1,<NA>,AirBnB
"""Registro 306""",1009892,2,M,51,0,PE,AirBnB
"""Registro 307""",1007359,3,M,44,0,COL,AirBnB
"""Registro 308""",1002611,4,M,49,1,AR,Hotel
"""Registro 309""",1001520,5,M,35,0,NL,Hotel
"""Registro 310""",1006265,5,F,33,0,COL,AirBnB
"""Registro 311""",1007037,2,M,<NA>,0,<NA>,AirBnB
"""Registro 312""",1006225,8,F,31,1,IT,Hotel
"""Registro 313""",1013402,8,F,47,0,<NA>,Hotel
"""Registro 314""",1010253,7,M,39,0,PE,Hotel
"""Registro 315""",1007426,3,F,36,1,US,Hotel
"""Registro 316""",1012896,4,M,45,1,US,Hotel
"""Registro 317""",1008040,1,F,36,1,NL,Hotel
"""Registro 318""",1006568,4,F,42,0,US,Hotel
"""Registro 319""",1000801,3,M,38,1,AR,AirBnB
"""Registro 320""",1002500,5,F,38,1,ES,Hotel
"""Registro 321""",1000343,2,F,38,0,US,Hotel
"""Registro 322""",1003150,2,F,41,0,NL,Hotel
"""Registro 323""",1000609,4,M,<NA>,1,NL,AirBnB
"""Registro 324""",1005302,6,F,42,1,NL,AirBnB
"""Registro 325""",1005820,5,F,38,<NA>,IT,Hotel
"""Registro 326""",1003671,7,M,40,1,US,AirBnB
"""Registro 327""",1004364,4,M,43,1,AR,Hotel
"""Registro 328""",1008415,6,F,43,0,<NA>,Hotel
"""Registro 329""",1004847,2,M,38,0,IT,AirBnB
"""Registro 330""",1003218,7,F,39,0,<NA>,AirBnB
"""Registro 331""",1012159,5,F,<NA>,0,IT,AirBnB
"""Registro 332""",1012856,6,F,32,1,UK,Hotel
"""Registro 333""",1012394,4,M,37,1,ES,Hotel
"""Registro 334""",1005466,3,F,33,1,AR,Hotel
"""Registro 335""",1001495,7,M,47,0,<NA>,AirBnB
"""Registro 336""",1006823,6,F,<NA>,1,NL,AirBnB
"""Registro 337""",1004279,4,M,<NA>,0,ES,AirBnB
"""Registro 338""",1012115,4,M,51,0,COL,AirBnB
"""Registro 339""",1001666,2,M,<NA>,1,IT,AirBnB
"""Registro 340""",1008904,6,F,<NA>,1,PE,Hotel
"""Registro 341""",1013282,1,F,38,<NA>,NL,Hotel
"""Registro 342""",1001020,3,F,47,<NA>,US,AirBnB
"""Registro 343""",1003164,2,M,37,0,IT,Hotel
"""Registro 344""",1010464,6,F,40,0,IT,Hotel
"""Registro 345""",1000835,4,F,<NA>,0,AR,AirBnB
"""Registro 346""",1013866,5,F,36,1,IT,Hotel
"""Registro 347""",1001994,2,F,<NA>,0,IT,Hotel
"""Registro 348""",1000426,2,M,40,0,PE,Hotel
"""Registro 349""",1001287,5,F,36,1,NL,Hotel
"""Registro 350""",1006026,6,M,41,0,NL,AirBnB
"""Registro 351""",1010219,2,M,48,1,IT,Hotel
"""Registro 352""",1009417,5,F,37,1,NL,Hotel
"""Registro 353""",1002595,7,F,46,0,COL,AirBnB
"""Registro 354""",1012653,4,M,50,0,US,AirBnB
"""Registro 355""",1005209,5,M,40,0,NL,Hotel
"""Registro 356""",1002554,6,F,36,0,US,Hotel
"""Registro 357""",1005928,5,M,42,1,US,Hotel
"""Registro 358""",1010428,3,F,38,<NA>,ES,Hotel
"""Registro 359""",1008947,7,F,40,1,US,Hotel
"""Registro 360""",1011360,5,F,39,0,UK,Hotel
"""Registro 361""",1010673,7,F,40,0,NL,AirBnB
"""Registro 362""",1007420,2,F,46,0,AR,Hotel
"""Registro 363""",1003539,1,M,39,0,UK,Hotel
"""Registro 364""",1009447,5,M,26,0,NL,Hotel
"""Registro 365""",1006317,4,M,36,0,IT,Hotel
"""Registro 366""",1006522,3,M,<NA>,1,COL,AirBnB
"""Registro 367""",1006316,3,M,38,1,PE,AirBnB
"""Registro 368""",1006008,4,F,35,1,ES,Hotel
"""Registro 369""",1001274,7,M,43,0,NL,AirBnB
"""Registro 370""",1004860,5,M,44,0,COL,AirBnB
"""Registro 371""",1002072,4,M,35,0,NL,Hotel
"""Registro 372""",1009395,4,F,35,0,IT,AirBnB
"""Registro 373""",1001879,5,F,40,1,ES,Hotel
"""Registro 374""",1006618,3,F,<NA>,0,ES,AirBnB
"""Registro 375""",1007024,7,M,<NA>,0,AR,Hotel
"""Registro 376""",1012967,3,F,<NA>,0,UK,Hotel
"""Registro 377""",1013203,3,F,39,0,UK,AirBnB
"""Registro 378""",1011775,3,F,<NA>,1,UK,Hotel
"""Registro 379""",1006128,3,F,41,0,PE,Hotel
"""Registro 380""",1013880,5,F,40,1,<NA>,Hotel
"""Registro 381""",1013066,3,F,42,1,UK,AirBnB
"""Registro 382""",1008442,3,F,37,<NA>,IT,Hotel
"""Registro 383""",1011694,5,F,46,0,US,Hotel
"""Registro 384""",1002040,8,F,38,1,PE,Hotel
"""Registro 385""",1004458,4,M,35,<NA>,UK,AirBnB
"""Registro 386""",1005290,1,F,40,1,AR,Hotel
"""Registro 387""",1013156,3,M,44,1,ES,AirBnB
"""Registro 388""",1007421,5,F,45,0,US,Hotel
"""Registro 389""",1011440,4,M,38,0,ES,Hotel
"""Registro 390""",1002834,5,F,49,1,IT,AirBnB
"""Registro 391""",1007590,4,F,49,0,PE,Hotel
"""Registro 392""",1013229,4,F,42,1,UK,AirBnB
"""Registro 393""",1007393,3,F,42,1,UK,AirBnB
"""Registro 394""",1000194,4,M,34,0,IT,Hotel
"""Registro 395""",1006646,5,F,33,0,PE,AirBnB
"""Registro 396""",1006581,4,M,45,0,<NA>,AirBnB
"""Registro 397""",1013535,4,F,45,0,ES,Hotel
"""Registro 398""",1012449,7,F,47,0,<NA>,Hotel
"""Registro 399""",1001243,2,M,37,1,ES,AirBnB
"""Registro 400""",1004558,5,M,35,0,IT,Hotel
"""Registro 401""",1003942,2,F,32,0,<NA>,AirBnB
"""Registro 402""",1012221,8,F,45,<NA>,IT,Hotel
"""Registro 403""",1002575,5,F,37,0,PE,Hotel
"""Registro 404""",1009811,4,M,35,1,AR,AirBnB
"""Registro 405""",1005579,1,M,37,1,PE,AirBnB
"""Registro 406""",1000393,7,F,41,1,AR,AirBnB
"""Registro 407""",1013760,3,F,<NA>,1,PE,Hotel
"""Registro 408""",1008063,1,M,37,1,NL,AirBnB
"""Registro 409""",1009279,6,M,45,0,AR,AirBnB
"""Registro 410""",1007684,3,F,37,1,COL,Hotel
"""Registro 411""",1008572,5,F,<NA>,1,US,Hotel
"""Registro 412""",1012126,2,M,41,0,IT,AirBnB
"""Registro 413""",1002842,7,F,44,1,PE,AirBnB
"""Registro 414""",1000631,4,F,43,0,<NA>,Hotel
"""Registro 415""",1005986,8,F,45,1,NL,AirBnB
"""Registro 416""",1005676,6,F,40,1,IT,Hotel
"""Registro 417""",1011768,5,M,41,0,ES,AirBnB
"""Registro 418""",1011573,2,F,45,1,<NA>,AirBnB
"""Registro 419""",1011884,4,M,41,0,NL,AirBnB
"""Registro 420""",1007334,4,M,31,0,PE,Hotel
"""Registro 421""",1008678,3,F,35,<NA>,NL,AirBnB
"""Registro 422""",1005270,4,F,33,1,ES,Hotel
"""Registro 423""",1003354,5,F,38,1,NL,AirBnB
"""Registro 424""",1005011,3,F,46,1,COL,Hotel
"""Registro 425""",1000678,6,F,50,0,PE,Hotel
"""Registro 426""",1013458,6,M,<NA>,0,NL,Hotel
"""Registro 427""",1003996,6,F,43,1,PE,AirBnB
"""Registro 428""",1004488,7,M,45,1,NL,Hotel
"""Registro 429""",1001660,6,F,<NA>,0,COL,Hotel
"""Registro 430""",1011050,5,M,<NA>,1,COL,AirBnB
"""Registro 431""",1012207,4,M,45,0,COL,AirBnB
"""Registro 432""",1004451,3,F,44,0,US,Hotel
"""Registro 433""",1011824,6,M,38,1,UK,AirBnB
"""Registro 434""",1003678,3,M,43,1,AR,Hotel
"""Registro 435""",1008685,5,M,<NA>,1,ES,AirBnB
"""Registro 436""",1000980,8,M,42,1,<NA>,Hotel
"""Registro 437""",1004551,3,F,44,0,COL,Hotel
"""Registro 438""",1006124,3,M,37,1,UK,AirBnB
"""Registro 439""",1009548,5,F,<NA>,1,AR,Hotel
"""Registro 440""",1010984,3,F,35,0,US,AirBnB
"""Registro 441""",1005748,3,F,43,<NA>,IT,Hotel
"""Registro 442""",1012343,2,F,33,1,AR,Hotel
"""Registro 443""",1007117,2,F,41,<NA>,AR,AirBnB
"""Registro 444""",1013215,3,M,39,1,UK,AirBnB
"""Registro 445""",1003205,4,M,38,1,AR,Hotel
"""Registro 446""",1006641,5,M,42,0,UK,AirBnB
"""Registro 447""",1003929,3,F,38,<NA>,COL,AirBnB
"""Registro 448""",1009219,2,F,41,0,US,Hotel
"""Registro 449""",1003472,1,M,47,0,UK,AirBnB
"""Registro 450""",1003767,2,F,39,1,IT,Hotel
"""Registro 451""",1012591,4,F,35,<NA>,COL,AirBnB
"""Registro 452""",1000910,5,F,39,0,AR,Hotel
"""Registro 453""",1007727,2,M,40,0,COL,Hotel
"""Registro 454""",1008158,4,M,43,1,COL,Hotel
"""Registro 455""",1012333,1,M,41,0,ES,AirBnB
"""Registro 456""",1008910,2,M,38,1,UK,Hotel
"""Registro 457""",1006242,4,F,45,0,IT,Hotel
"""Registro 458""",1004247,3,F,42,1,COL,AirBnB
"""Registro 459""",1005596,4,M,42,1,COL,Hotel
"""Registro 460""",1009257,3,F,38,0,UK,Hotel
"""Registro 461""",1012672,5,F,35,1,ES,Hotel
"""Registro 462""",1000687,5,M,52,0,COL,Hotel
